Date,Trait,Method,n,R2,RMSE
20250531,LMA,RTM,60,0.17233170793335084,5.602760151143066
20250531,LMA,ELC,60,0.14766411410637914,5.68563870931424
20250531,LMA,ELC3,60,0.14766411410637914,5.68563870931424
20250531,LAI,RTM,60,0.7909937729187271,0.24972856377982347
20250531,LAI,ELC,60,0.8011914645508041,0.243560086558088
20250531,LAI,ELC3,60,0.8011914645508041,0.243560086558088
20250531,LNC,RTM,60,0.6899865762009852,0.3461518075979572
20250531,LNC,ELC,60,0.7001225837166516,0.34044599871834785
20250531,LNC,ELC3,60,0.7001225837166516,0.34044599871834785
20250531,CNC,RTM,60,0.8299474048430792,0.6576575104613273
20250531,CNC,ELC,60,0.8338455352092827,0.6500760408719011
20250531,CNC,ELC3,60,0.8338455352092827,0.6500760408719011
20250612,LMA,RTM,60,0.48424181519839316,3.728136992703792
20250612,LMA,ELC,60,0.4218263893647488,3.9472799693261025
20250612,LMA,ELC3,60,0.4218263893647488,3.9472799693261025
20250612,LAI,RTM,60,0.45709919744829564,0.4668691926229086
20250612,LAI,ELC,60,0.5206579695985503,0.43868999599580577
20250612,LAI,ELC3,60,0.5206579695985503,0.43868999599580577
20250612,LNC,RTM,60,0.8859048372774685,0.2974023566455607
20250612,LNC,ELC,60,0.8843955330003469,0.29936298279569123
20250612,LNC,ELC3,60,0.8843955330003469,0.29936298279569123
20250612,CNC,RTM,60,0.6825664626729246,1.226756556349857
20250612,CNC,ELC,60,0.7040078300725345,1.184600999246214
20250612,CNC,ELC3,60,0.7040078300725345,1.184600999246214
20250625,LMA,RTM,60,-0.08820877784242454,7.263836266906371
20250625,LMA,ELC,60,-0.20655420812352854,7.648624727953384
20250625,LMA,ELC3,60,-0.20655420812352854,7.648624727953384
20250625,LAI,RTM,60,0.890207798426401,0.1948972577808196
20250625,LAI,ELC,60,0.8957744949374292,0.189892138724856
20250625,LAI,ELC3,60,0.8957744949374292,0.189892138724856
20250625,LNC,RTM,60,0.6196719301171332,0.3654239550508424
20250625,LNC,ELC,60,0.6464913478854848,0.35230422204396006
20250625,LNC,ELC3,60,0.6464913478854848,0.35230422204396006
20250625,CNC,RTM,60,0.8339455812303248,0.676607604958278
20250625,CNC,ELC,60,0.8417040310827753,0.6606121914066504
20250625,CNC,ELC3,60,0.8417040310827753,0.6606121914066504
