Date,Trait,Method,R2_fold_mean,R2_fold_SD,RMSE_fold_mean,RMSE_fold_SD
20250531,CNC,ELC,0.7760042047702775,0.16833482228006172,0.6421377011294455,0.11323665320842727
20250531,CNC,ELC3,0.7760042047702775,0.16833482228006172,0.6421377011294455,0.11323665320842727
20250531,CNC,RTM,0.8002095081270635,0.07817463588347759,0.6498794604443855,0.11275021041391087
20250531,LAI,ELC,0.7738648914751538,0.0925102010869029,0.24151321571494483,0.03522929177562759
20250531,LAI,ELC3,0.7738648914751538,0.0925102010869029,0.24151321571494483,0.03522929177562759
20250531,LAI,RTM,0.7596308164925719,0.09942773515221738,0.24828485420026558,0.0299788830321907
20250531,LMA,ELC,0.04441423521532302,0.25364856135628416,5.449719598090988,1.812127146144652
20250531,LMA,ELC3,0.04441423521532302,0.25364856135628416,5.449719598090988,1.812127146144652
20250531,LMA,RTM,0.07413405056530606,0.28931590971009535,5.361159206663201,1.8196473806918858
20250531,LNC,ELC,0.646874903569871,0.16617090796348646,0.33674117063613274,0.05600069242808825
20250531,LNC,ELC3,0.646874903569871,0.16617090796348646,0.33674117063613274,0.05600069242808825
20250531,LNC,RTM,0.6278046462016105,0.2455133514851604,0.33712627376941845,0.08779912754179525
20250612,CNC,ELC,0.6645576133947073,0.19136821278320756,1.1713233782300034,0.19774058456403534
20250612,CNC,ELC3,0.6645576133947073,0.19136821278320756,1.1713233782300034,0.19774058456403534
20250612,CNC,RTM,0.6477161023278228,0.15854905996949029,1.2133579740328273,0.20215735021979844
20250612,LAI,ELC,0.49403750965814125,0.17405221071402144,0.4362916814212845,0.051216224350645066
20250612,LAI,ELC3,0.49403750965814125,0.17405221071402144,0.4362916814212845,0.051216224350645066
20250612,LAI,RTM,0.42947967746794247,0.14944132363216941,0.4648599167645875,0.048374848914329166
20250612,LMA,ELC,0.36184127966318813,0.14560076618780962,3.8781661969735524,0.8222272381273051
20250612,LMA,ELC3,0.36184127966318813,0.14560076618780962,3.8781661969735524,0.8222272381273051
20250612,LMA,RTM,0.4171452134537262,0.14769486832512463,3.680789187385969,0.6621899221418792
20250612,LNC,ELC,0.8660699750815397,0.057777824978281066,0.29232890366689845,0.07212842322242445
20250612,LNC,ELC3,0.8660699750815397,0.057777824978281066,0.29232890366689845,0.07212842322242445
20250612,LNC,RTM,0.8696538936761058,0.055192485353659615,0.29085571109875435,0.06938224790581564
20250625,CNC,ELC,0.8272532481231221,0.10203216724295677,0.6407126257251402,0.17991594798507068
20250625,CNC,ELC3,0.8272532481231221,0.10203216724295677,0.6407126257251402,0.17991594798507068
20250625,CNC,RTM,0.8216231499983605,0.04691403217465226,0.6731621539943881,0.07624438927728608
20250625,LAI,ELC,0.8680487209812959,0.1044910539994706,0.186575824397132,0.03950452663984429
20250625,LAI,ELC3,0.8680487209812959,0.1044910539994706,0.186575824397132,0.03950452663984429
20250625,LAI,RTM,0.8655230488191604,0.07370579738324799,0.1943753914249749,0.01593534981068222
20250625,LMA,ELC,-0.4318608835228675,0.615595448838143,7.415834828438764,2.0936970967568898
20250625,LMA,ELC3,-0.4318608835228675,0.615595448838143,7.415834828438764,2.0936970967568898
20250625,LMA,RTM,-0.4629056084638755,1.100644663864054,7.071594102367811,1.8560287456627218
20250625,LNC,ELC,0.615670389734541,0.163492779860271,0.3476090416476601,0.06409191675628123
20250625,LNC,ELC3,0.615670389734541,0.163492779860271,0.3476090416476601,0.06409191675628123
20250625,LNC,RTM,0.5846548029852402,0.18325639216343054,0.3611955780364849,0.06197198290245414
