Date,Plot_Index,Method,SAM_deg,RMSE
20250429,1,RTM,1.7114835381817002,0.014878674031756762
20250429,2,RTM,2.594832570573075,0.020534600994451976
20250429,3,RTM,2.1742400729458504,0.011899995824879873
20250429,4,RTM,2.0325712171238908,0.017076490632076443
20250429,5,RTM,1.4572186214038354,0.020895956934600477
20250429,6,RTM,2.092778239030553,0.01756196573164706
20250429,7,RTM,2.3643351304508777,0.024564768438501514
20250429,8,RTM,2.097472827696555,0.01571451684577762
20250429,9,RTM,2.0559144632199255,0.009998565542349616
20250429,10,RTM,3.3587059912622346,0.018508068707615927
20250429,11,RTM,2.5559462886991033,0.011163974436182993
20250429,12,RTM,2.9552005249307762,0.011600396871325783
20250429,1,ELC,1.993964685389937,0.012759987786548004
20250429,2,ELC,2.57304291858389,0.0176206539900936
20250429,3,ELC,2.5203650125621664,0.011287531794743755
20250429,4,ELC,2.5594507474806307,0.015545892572241838
20250429,5,ELC,2.1923644565590705,0.01878164985356053
20250429,6,ELC,2.545169666154239,0.015874710343812312
20250429,7,ELC,2.72240084294555,0.021493330404356015
20250429,8,ELC,2.8502611579300265,0.014671404221081506
20250429,9,ELC,2.669241046067098,0.010842232854895563
20250429,10,ELC,4.256133065754104,0.018955469700925032
20250429,11,ELC,2.828981275926486,0.0136291048331374
20250429,12,ELC,2.8991572916004813,0.012166967603158246
20250429,1,ELC3,1.0831308498848655,0.005290053746269052
20250429,2,ELC3,2.0768837532602373,0.011066122571125193
20250429,3,ELC3,1.6387762496314662,0.0070459859690627374
20250429,4,ELC3,1.562178819037667,0.007809801662760333
20250429,5,ELC3,1.1726856132976764,0.01086011198133309
20250429,6,ELC3,1.5368261325344486,0.00804205295142447
20250429,7,ELC3,1.6768304987574196,0.013914519922529579
20250429,8,ELC3,1.258925887990931,0.005685141134720695
20250429,9,ELC3,1.2860796264994538,0.006979884932245861
20250429,10,ELC3,2.8543653222977388,0.011299335498440833
20250429,11,ELC3,1.8700724309489578,0.01571004879841965
20250429,12,ELC3,2.5486149414783106,0.014906518932940475
20250531,1,RTM,4.450170338409308,0.02469462728515444
20250531,2,RTM,4.775736728992117,0.024791331048868458
20250531,3,RTM,5.773815561362882,0.024596263864405155
20250531,4,RTM,5.478859077976723,0.032276872951333226
20250531,5,RTM,4.992270030631737,0.023376541541059837
20250531,6,RTM,5.2167815879761905,0.031050698721148264
20250531,7,RTM,3.696312201950679,0.012508725716667612
20250531,8,RTM,3.951952074888943,0.01952819683409245
20250531,9,RTM,3.9867204544656,0.020488533500106636
20250531,10,RTM,4.801337735101359,0.017092674073359047
20250531,11,RTM,5.121566312862197,0.022139971813092036
20250531,12,RTM,4.3696041270094,0.019389914339681652
20250531,1,ELC,3.93467156412937,0.0210411649024178
20250531,2,ELC,4.393095964437367,0.021506563746483874
20250531,3,ELC,5.1487285070338835,0.02093773804925806
20250531,4,ELC,4.821763357230227,0.02832474824819938
20250531,5,ELC,4.378779370954952,0.019529166952914248
20250531,6,ELC,4.790996212611159,0.027452901357756056
20250531,7,ELC,3.616505609608179,0.011837112766589494
20250531,8,ELC,3.6084080557007607,0.01547298608883419
20250531,9,ELC,3.2743151571425275,0.015336870181124864
20250531,10,ELC,5.081899329125165,0.01776261344431708
20250531,11,ELC,4.013386510430928,0.01641250287468845
20250531,12,ELC,3.503946010065809,0.014067310234528492
20250531,1,ELC3,3.0835362366361263,0.016320178307220528
20250531,2,ELC3,3.4847197065623123,0.016665057954188066
20250531,3,ELC3,4.250788977880192,0.016415182672622156
20250531,4,ELC3,3.9740128917829405,0.02364863864052398
20250531,5,ELC3,3.5906038390753747,0.01525755985110056
20250531,6,ELC3,3.9359359758575985,0.02274011525701124
20250531,7,ELC3,2.036597157931307,0.008098089557656623
20250531,8,ELC3,2.066376359342967,0.009790865573022417
20250531,9,ELC3,2.1080259898380738,0.010494142125501081
20250531,10,ELC3,3.8159532337431177,0.014104339232441688
20250531,11,ELC3,3.405520756525835,0.012901054623155647
20250531,12,ELC3,2.5573738721299017,0.00974539112008789
20250612,1,RTM,2.2289347225046705,0.024370294658149737
20250612,2,RTM,2.594976661430611,0.018718365407779016
20250612,3,RTM,1.8969752282892662,0.00904349826159608
20250612,4,RTM,1.8200944802900525,0.008706272477992872
20250612,5,RTM,1.7416287565684325,0.016713863005924624
20250612,6,RTM,2.6386388393980686,0.021017365307298815
20250612,7,RTM,2.608549800067838,0.009053503182967288
20250612,8,RTM,2.4545460421604455,0.01087881276753002
20250612,9,RTM,3.0627694575114055,0.012255385114977013
20250612,10,RTM,2.180955119488785,0.008436692616816257
20250612,11,RTM,3.303465487275777,0.012023302034918356
20250612,12,RTM,2.3576630966987957,0.007828999034344544
20250612,1,ELC,2.0611104837970373,0.010129721862911056
20250612,2,ELC,2.6283918277227705,0.011227465685663594
20250612,3,ELC,1.33548524585542,0.022023420026963676
20250612,4,ELC,1.2142594929983144,0.01888433787210023
20250612,5,ELC,1.5235228106220606,0.0069920180398177975
20250612,6,ELC,2.3670257917589863,0.010494727783063809
20250612,7,ELC,2.499190547608541,0.01520354395068494
20250612,8,ELC,2.803726054366722,0.019614232983650663
20250612,9,ELC,2.941341815072108,0.011142920138085306
20250612,10,ELC,2.6121295070169497,0.01725779847339578
20250612,11,ELC,2.6691234749470887,0.011603582571906705
20250612,12,ELC,2.333246425809439,0.014015466680244965
20250612,1,ELC3,1.8946390476549748,0.0083059302093372
20250612,2,ELC3,2.3855192827007747,0.01237397996022505
20250612,3,ELC3,1.5454043108011997,0.02809010582232056
20250612,4,ELC3,1.5689570117924738,0.02483201436733668
20250612,5,ELC3,1.4824682750723162,0.009846009583212977
20250612,6,ELC3,2.3101316127579543,0.011599642164492528
20250612,7,ELC3,2.435900154885744,0.02012776903751615
20250612,8,ELC3,2.9946140256226745,0.024996725492618745
20250612,9,ELC3,2.5812664890218784,0.01375091089845422
20250612,10,ELC3,2.3340852843785083,0.02201634395960591
20250612,11,ELC3,2.6841216915447257,0.016189778425407735
20250612,12,ELC3,2.312832914097668,0.01918520996941187
20250625,1,RTM,1.728692165449101,0.007762433289210276
20250625,2,RTM,1.8678710051608696,0.014052276907393196
20250625,3,RTM,2.0297523115020866,0.017724711152932088
20250625,4,RTM,2.057212536790409,0.01921679021276032
20250625,5,RTM,2.247434727275557,0.011437525200918303
20250625,6,RTM,2.0404745222935823,0.009567098241898102
20250625,7,RTM,2.6493430222201497,0.022869722420714323
20250625,8,RTM,3.5805971403114634,0.02934087716395652
20250625,9,RTM,1.8805010979887222,0.008117296369799366
20250625,10,RTM,2.473573984706829,0.009176352485955037
20250625,11,RTM,2.2627164194984855,0.021158649832499602
20250625,12,RTM,2.9248915634594868,0.03129264840915899
20250625,1,ELC,1.094304985277263,0.008768559221564224
20250625,2,ELC,1.5728405197130364,0.008622705002503091
20250625,3,ELC,1.7923770654982591,0.011630672428968192
20250625,4,ELC,1.5911240925902288,0.012933611023026382
20250625,5,ELC,1.6166345803712543,0.0070578562174974865
20250625,6,ELC,1.0520419945577488,0.010291630287683614
20250625,7,ELC,2.040549085589134,0.014795739433736318
20250625,8,ELC,2.374946118267828,0.020191538576090025
20250625,9,ELC,2.0797700629573295,0.013888103697191588
20250625,10,ELC,1.599097564878487,0.008484246709264462
20250625,11,ELC,2.092086314780772,0.01401955375135214
20250625,12,ELC,1.9022288757580001,0.022632429391977175
20250625,1,ELC3,0.7910089277734194,0.01159903931707343
20250625,2,ELC3,1.1733834094690134,0.005168022083798532
20250625,3,ELC3,1.2970464922358524,0.007412924960351982
20250625,4,ELC3,1.1848699631614568,0.008859606944422246
20250625,5,ELC3,1.0677366884613615,0.0062925949455435405
20250625,6,ELC3,0.49515319343606085,0.013113667632218532
20250625,7,ELC3,1.028177501561133,0.009748182054266197
20250625,8,ELC3,2.5874729523073965,0.01718680023140064
20250625,9,ELC3,0.8212388521818862,0.015274231910181518
20250625,10,ELC3,1.1536046042035226,0.010998403609332375
20250625,11,ELC3,0.6716088782895359,0.008357724846815805
20250625,12,ELC3,1.7473952563143877,0.0188790767319386
