Date,Method,SAM_mean,SAM_SD,RMSE_mean,RMSE_SD
20250429,ELC,2.7175443472461396,0.551566006612769,0.015302411329879485,0.0033715921867716117
20250429,ELC3,1.7137808438015976,0.5473708807984329,0.009884131508439331,0.0036015785454476847
20250429,RTM,2.287558290459865,0.5215679124835576,0.016199831249263837,0.004514701434896584
20250531,ELC,4.213874637372528,0.6479120690514657,0.019140139903926,0.005066591639284502
20250531,ELC3,3.192453749775479,0.8066199848366689,0.014681717909544324,0.0049356767914697135
20250531,RTM,4.717927185968928,0.643100595658183,0.02266119597408073,0.005521558721864581
20250612,ELC,2.2490461231312864,0.5869646647367367,0.014049103005707378,0.004570211631681967
20250612,ELC3,2.210828341694241,0.4840600646437316,0.0176095349908283,0.00655109499511885
20250612,RTM,2.407433140973679,0.4765497526857538,0.013253862822524552,0.005580131656959876
20250625,ELC,1.734000105019945,0.3973676446157946,0.012776387145071224,0.0047762330514725644
20250625,ELC3,1.1682247266162522,0.552586572105279,0.01107418960561195,0.004322819815205234
20250625,RTM,2.3119217080547285,0.5285894697461346,0.016809698473933012,0.00816674295437388
